"State","STABBR","Density_sq_mi","Population","LandArea_sq_mi","Total_Employment_Rate_Pct","Annual_Change_Pct_Employed","GDP_Pct_Change","Income2023","Income2019","Income2015","ResearchExpenditures_in_Millions","ResearchExpenditures_per_capita","ResearchExpenditures_Federal_Govt_pct","ResearchExpenditures_GDP_pct","Poverty_Pct","Number_in_Poverty","SA_UnemploymentRate","Pct_Forested","Gun_Suicide_Rate","Suicide_Rate","Gun_Homicide_Rate","Homicide_Rate","Pct_Gun_At_Home"
"South Carolina","SC","179","5,373,555","30,061","54.7% ","-0.1% ","5.7% ","$67,804","$56,227","$47,238","2,628","540","4.1% ","1.09%","13.9% ","726,799",3.1,"68.19%",10.5,15.5,"10.7",12.6,"45%"
"South Dakota","SD","12","919,318","75,811","66.8% ","0% ","5.2% ","$71,810","$59,533","$53,017","344","393","4.9% ","0.63%","11.8% ","104,684",1.8,"3.93%",10.9,22.7,"2.8",5,"55%"
"Tennessee","TN","173","7,126,489","41,235","57.9% ","+0.4% ","5.2% ","$67,631","$56,071","$47,275","6,187","714","12.7% ","1.70%","14% ","978,460",3.2,"52.83%",11.7,17.5,"10.2",11.6,"47%"
"Texas","TX","117","30,503,301","261,232","61.4% ","+1.5% ","7.7% ","$75,780","$64,034","$55,653","34,589","950","2.3% ","1.97%","13.7% ","4,086,851",4.1,"37.33%",8.6,14.2,"6.6",8.1,"36%"
"Utah","UT","42","3,417,735","82,170","67.1% ","+1.1% ","6.1% ","$93,421","$75,780","$62,912","4,452","1,272","4% ","2.28%","9% ","304,249",2.4,"34.48%",10.9,19.3,"2.1",2.7,"40%"
"Vermont","VT","70","647,464","9,217","61.5% ","+1.6% ","3.9% ","$81,211","$63,001","$56,990","574","711","0.7% ","1.75%","9.7% ","60,413",1.9,"77.81%",11.5,22,NA,1.5,"50%"
"Virginia","VA","221","8,715,698","39,490","63% ","+1.8% ","4.2% ","$89,931","$76,456","$66,262","13,317","1,311","15.2% ","2.41%","10.2% ","864,394",2.7,"62.93%",8.2,13.7,"5.8",7,"35%"
"Washington","WA","118","7,812,880","66,456","61.4% ","+1.5% ","5.1% ","$94,605","$78,687","$64,129","46,392","4,496","0.6% ","7.50%","10.3% ","794,426",3.8,"52.74%",8,15.9,"3.3",4.5,"32%"
"West Virginia","WV","74","1,770,071","24,038","52.5% ","+1.3% ","3.7% ","$55,948","$48,850","$42,019","556","341","10.1% ","0.75%","16.7% ","285,780",3.3,"79.01%",12.7,21,"4.8",6.4,"60%"
"Wisconsin","WI","109","5,910,955","54,158","63.1% ","-0.1% ","5% ","$74,631","$64,168","$55,638","8,346","1,320","0.7% ","2.46%","10.7% ","616,874",2.5,"48.98%",8.2,15.3,"4.9",5.9,"47%"
"Wyoming","WY","6.0","584,057","97,093","61.4% ","+0.7% ","5.7% ","$72,415","$65,003","$60,214","1,169","2,031","2.2% ","3.23%","11.3% ","64,309",3.1,"18.42%",23.7,32.8,"1.7",2.8,"61%"
